id;text;polarity
tD178;Consider this HTML: On all browsers but Firefox/Mac, it renders correctly, i.e bold and non-bold text are on the same baseline. On Firefox/Mac, there is a 1px baseline difference between the bold and non-bold texts. See below for screenshot. Left is Safari 3.2.3, right is Firefox 3.0.10. Is there any way to fix this e.g with some CSS, other than to go quietly cry in the corner and use Arial (which I'd not want to do â€” I'd stay with Helvetica Neue if I could).;neutral
sD308;Very annoying! If you are desperate to get this working you could force Chrome to redraw the element (on window resize, maybe?):;negative
tD421;Hey, you guys are great, thanks a whole bunch! I will set up the environment in the cron script.;positive
pC44;So, the following hack seems to work, but it's really incredibly ugly IMO, as it relies on you controlling the line-height and using absolute positioning. Worse, it requires you to know how many lines there are in your text, which depends on the width of the div and the font-size, and probably requires JS to compute.Anyway, after all the above disclaimers, here's the hack: Use two divs with the same text, one on top of the other. One justified, one centered. Then clip the justified one.HTML CSS Fiddle.Of course, the above code is hard-coded for the specific width. Again, you'll probably need JS in order to compute the number of lines in the div. I'm pretty sure that until this gets implemented in Webkit you probably won't find an elegant solution for your problem.;negative
tA79;Any, but Solaris especially loves threads.;neutral
tC377;What kinds of considerations are there for migrating an application from NHibernate 1.2 to 2.0? What are breaking changes vs. recommended changes? Are there mapping issues?;neutral
sA84;Excellent, thank you!;positive
tD306;I'm looking for some open source alternative to create reports from classic asp they don't have to be something awfully elaborated, we rather find some simple product that allows us to generate pdf files from a data set. we were thinking about developing some kind of service that took an xml as input and returned a pdf, probably with jasperreports or any other free tool... we also looked for a component that could convert plain html to pdf, adding some special tags to handle pagination and layout... any idea?;neutral
sD4;"so im using a simple submit binding to pass a function data: i just started working with KO so i was to write a basic print function to test this input out: my problem is when i hit submit i get a ""you entered: undefined"" but when i refresh the page the input that is in the form gets an alert. this is very frustrating! idk if this is a knockout problem or a simple HTML one.";negative
sC341;Is determined at compile time?;neutral
tB496;@George - Very helpful, thanks!;positive
sA597;@Java1 I had totally forgotten about the moderators _hating_ the _link-only-answers_.!! :-(;negative
sA113;How can I increase Java heap size for Carrot2 Document Clustering Workbench?;neutral
tD460;see Binary Worrier's suggestion to psuedo-inline that into an extension method.;neutral
tB75;Evil! Evil incarnate!;negative
sA397;Very scary! O_O;negative
sB390;This is an exact repost of a previous question.;neutral
tA341;I have a column containing the strings 'Operator (1)' and so on until 'Operator (600)' so far. I want to get them numerically ordered and I've come up with which is very very ugly. Better suggestions?;negative
sC321;You're right edited. Sad fact! :(;negative
tA378;Yep. I gave up actively deleting stuff off my hard drive a long time ago. Just like with gmail, with decent search it's easier to just archive everything rather than worry about sorting, filing, and deleting it.;neutral
sD32;Is this visual studio specific or all c++ projects behave this way? Why??;negative
tD150;"You can get IDs or classes on elements, but you cannot really retrieve the ""selector"" of an element. You can use `width()` and `height()` to get the dimensions.";neutral
sA492;Ok after a LOT of searching I found the answer, which is relating to accessing request in django custom template tags.... You can see the answer here: I used the following: and then changed the following line: I really hope this helps someone else! :-);positive
sC187;Use the .Seek and .SetLength methods.;neutral
tB78;I am using LLBLGen Pro 2.5 with self-servicing. If I want to add some rows into my tables within a transaction and then update the first row I added, do I have to add that first entity into the transaction object again? Here is a fictional example of what I mean: Any advice would be greatly appreciated!;positive
tB157;I'm only generating the AutoGeneratedClass. The GenericClass and its GenericHandler() method are hand-coded in a different assembly from the AutoGeneratedClass altogether. So I'm afraid this won't work.;negative
pC39;I should add that the element thing throws an error when it can't find something. Do you normally use try/except for all find_element commands? * oh so very sad * :(;negative
tC208;Has anyone ever made a sharepoint lookup column that allows fill inn choices and does writeback to the list it does lookup from? what would it take to make such a column? If a 3.rd party solution is arround that would be realy great to :) Cheers!;positive
sC40;Works great :) Thanks a lot!;positive
sD89;"BTW - your article on ""the Math behind Transforms"" is an excellent read - very helpful indeed!";positive
sB44;I must investigate further, but I fear it's not : big precompiled pieces of middleware ahead !;negative
tC493;cat'ing a script to paster shell scares me. The interactive Python shell has different rules for, e.g. terminating multi-line statements.;negative
sB584;Another option you have is to override onDestroy() on the first screen of your app, so it will be called right before your process gets killed!;neutral
pB88;Gosh ! you're right !!! Excellent !!!! Is there a way to expand it programatically ? I added .setOngoing(true) (to the top) but it's not expanded... (not really the top because the first one is a notification when I'm plugged to USB for tools developpement ). Thank you again my friend !;positive
pD100;A couple of issues with your code that may be causing the problem is as follows:Do not EVER escape binary data prior to insertionInserting binary data from an upload into the database is a huge no-no. This can inadvertently lead to some very malicious attacks on your server that extend beyond simple SQL injection.That being said, it is not know what the field type is that you are trying to store into, nor how large the image file is. Storing a 2GB upload as a field in a database is probably not a wise idea, but if you wanted to store large images, it is recommended to stream the data into a BLOB field.For smaller files, you can them safely into fields or if allocated enough space.;neutral
pD63;"Awesome!!! I changed to include the ""/"" at beginning and it worked!! was that why it was not matching the app.yaml handlers ?";positive
sA569;given a youtube url, how can i embed the video into a page using .net c#?;neutral
pD39;WOW people THANK YOU SO MUCH FOR YOUR ANSWERS!!!! (bow);positive
tD106;What should go into the top level namespace? For example, if I have MyAPI.WebLogic, MyAPI.Compression, etc. If I put classes into the top level namespace, am I violating the principle of encapsulation?;neutral
sB411;Terrible! Why do you post all that code? Three asynctasks. Do we have to dig through all that? You should only post the relevant code.;negative
sC257;that was from something else - that apparently the fragmentmanager holds on to fragments. But you're right - it doesn't make any difference one way or the other. Nice library by the way - extremely useful!;positive
tD301;@Pax, from my personal experience, somehow I always get faster and more reliable results when I'm using tables. But every time I did that, I feel guilty.;neutral
sB77;It's works fine :) Thanks !;positive
pD94;(I'm assuming you don't have a DMR.)There is no easy/clean way to do this in Cognos. In your query, you'll have to build a calculation for each year in your output. So, something like this for 2013: And basically the same for 2014.Cut the Trans piece out of your crossab. Then you'll nest those two calcs under your years. To get rid of all the zeroes or nulls, select the two columns. From the menu, select , , .Finally, you will drop a calc in next to your Years in the crosstab (not under them). The expression will be (or whatever you end up naming your calcs). Format it as a percent, and you should be good to go.Told you it was a pain!;neutral
sB336;@RogerRowland: Everything else works. All my apps, including VS, and my other dev projects. So I'm really afraid to break all of them.;negative
tC176;I hate it too. But did you stop to think why i wanted to do this instead of just assuming im an idiot? Its a small personal site, not a money maker. Rebuilt it to learn a new technology. Not bothered 301ing pages to their new versions. So instead trying to get some value to the homepage.;negative
sC328;Works excellent, many thanks!;positive
sA2;Excellent! This is exactly what I needed. Thanks!;positive
sA233;Which language and/or regex engine is it for?;neutral
tD371;SCSS is not __better__ than SASS, just different. It all depends on how you are used to writing code. If you are used to HAML-style terseness, then you could argue that SASS is better (less lines of code, less syntax like braces, etc). Just pick your flavor and enjoy!;positive
tA175;This is really great, worked a treat thanks;positive
sA36;I've re-read my comment, and it says what I meant it to say.;neutral
pA94;As I comment your question, there are of problems inside your code so better will be to use some ready function/class for it :) just search for it ..How ever I can give you easy way to display what you want..Replace your FOR loop with that code and it will be fine :) But really !!! 1st - MYSQL_ functions are deprecated use mysqli or PDO instead.. 2nd - ESCAPE all variables in your queries.. 3rd - Think for using more flexible methods of work (function/objects ..);positive
tB59;"Good Morning, I'm using SharePoint Designer 2007 to create a workflow for a MOSS site I have created. What I'm looking to do is have the workflow send out an email if a document in the library hasn't been modified for the past 30 days (and it's Status field is not set as ""Closed""), but I'm stumped as to how I can do this. Any help would be greatly appreciated! Thanks!";positive
sB347;You can do it with BUT, you should look into jQuery, an excellent Javascript library which makes it really easy to do that plus a LOT more! It's worth the small learning curve, trust me.;positive
sB29;I think your underscores got eaten by markdown. You meant: 4.6.4.6.__class__.__name__;neutral
tB244;"Shortcut keys often don't work the same way across all browsers. And they are awful on Opera. And most users won't use them. The only thing I'd bother with on most sites is buttons for next and prev, and I'd also make the alt tag say ""next"" or ""previous"" to assist browsers with fast forward.";negative
pB15;Reinnstalled Xcode4 - same thing. Awful!;negative
sA65;My guess is that you would have to extend the classes for DataTip, to check for NULL hitData objects, to kill/stop the drawing of the display. I do not think there is a way to do that normally in FLEX. You would have to customize and override the hitData class unfortunately. What a pain!!;negative
sA207;The answer was devastatingly simple in this case. For some reason windows uses localhost as opposed to 0.0.0.0. So although it says standing watch at 0.0.0.0:4567 it is actually standing watch at localhost:4567 . You should be able to navigate to this page and see your middleman build.;neutral
sC558;For a good c compiler use . It is an excellent compiler which a huge device database to select from! You can use keil to generate a Hex file (in the Intel hex file format). You can then load the hex file into to simulate your design and see the output!;positive
pA9;I didn't select an answer because even though two of them helped neither of them is complete.;neutral
pB6;"Would you happen to have another column in your table where you can group them as ""1 2 3 4"" , ""1 2 3 4"", etc?It would look something like this:1st column | second columnA | 1B | 1C | 1D | 1A | 2B | 2C | 2D | 2If you order it by 2nd column, it will return 1 1 1 1 2 2 2 2. But since you have another column, you can do order by 1st column, 2nd column, and it will be 1 2 1 2 1 2 1 2.This ia ofcourse assuming that you have a field like 1st column. But given that you're looking at having them order like 1 2 3 4 1 2 3 4, there must be something in your other fields that can help you achieved that Hope this helps!";positive
tB153;+1 Very interesting question!;positive
sC90;Undefined doesn't always mean unpredictable. As I said, it's definitely abuse.;neutral
tD200;There's a discussion related to this and one . Essentially, you use Invoke to accomplish it. Best of luck!;positive
sB508;Oh, wow, awesome! Thanks! (this question needs to have a answer, any volunteer?);positive
tC187;That link is full of horrible advice.;negative
tC174;I have an IIS6 web server that is hosting two application pools. Occasionally, one of the w3wp processes will spike the CPU for a while, and both app pools seem to suffer the consequences. I'm not sure which one is which, and without that information I don't know which application to blame. How can I tell which w3wp belongs to which App Pool?;neutral
sC432;Read [The Absolute Minimum Every Software Developer Absolutely, Positively Must Know About Unicode and Character Sets (No Excuses!)](http://www.joelonsoftware.com/articles/Unicode.html) by Joel Spolsky :-);neutral
sB4;The top chunk of code is not indenting properly.;negative
pB86;Unless you are able to demonstrate the problem with displayed code then I'm afraid there's not much more I can do to help you out.;negative
tB64;has a good website intro to sql. If anyone wants a book, the first several chapters of book are an excellent intro. Much better than the text book from my database class. If anyone wants to explore relational database concepts, seems to have a good intro. book is also very good on that subject.;positive
tC119;Ran into this myself. Very annoying limitation IMO.;negative
tD4;I'm just working my way through Django, and really liking it so far, but I have an issue and I'm not sure what the typical way to solve it. Suppose I have a View which is supposed to be updated when some complex Python object is updated, but this object is not driven by the database, say it is driven by AJAX calls or directly by the user or something. Where does this code go? Should it still go in models.py????;positive
sB297;I am really desperate :(;negative
pB74;<3 <3 <3 ! ! ! :);positive
tA49;Realted: http://stackoverflow.com/questions/386652/techniques-for-database-inheritance;neutral
tA54;If your worried about other people access your web service directly, you could check the calling IP address and host header and make sure it matches expected IP's addresses. If your worried about people stealing information during it's journey from the server to the client, SSL is the only way to go.;neutral
tA108;This doesn't do title case, where small words (articles and prepositions) should not be capitalized.;neutral
sA127;I've discovered that my Python code is a lot flatter than my C++ code. Don't know why.;negative
sD303;Perhaps you have not set up the terminal settings Follow the steps below : Open terminal Go to your folder where you want to install cocos2d write Cocos2d will install successfully Enjoy Programming !!;neutral
sA25;You can register any serializable type with the clipboard provider:;neutral
tC116;I haven't done this before, but I found on the web giving an explanation.;neutral
sA264;Thanks so much for the excellent answers! All answers worked beautifully.;positive
tB146;As mentioned above, some of the fundamental Object Oriented Design principles are OCP, LSP, DIP and ISP. An excellent overview of these by Robert C. Martin (of Object Mentor) is available here:;positive
sD270;"I have discovered a mode in , where I can instantly change all same variables. When I am in this mode I get a box around the same variables and I can change one and instantly all others change. I do not know how to enter this mode ""by will"", I just entered it ""randomly"". Therefore, I really appreciate your suggestions, how to enter this mode, because it is extremely useful to me! PS.: I am using NO plugins, just a plain new eclipse installation with java!";positive
tA264;I have found Html Helpers extremely useful to simplify view pages code. Apart from the ones included in the latest release of Asp.Net Mvc which one do you use? How much you can reuse them in different projects and are they linked only to html generation or did you put some custom logic inside?;positive
tC329;I agree - this is a very good introduction to SSAS and MDX!;positive
sD572;my current setup is: what I want to do is: my current .htaccess setup is:;neutral
tC41;I was using ruby and glade2 to design the user interface for a while in the new version of glade3 i can use gtkbuilder format to generated xml file instead of libglade. is there any example? i searched google but i had no luck!;neutral
tC451;Couldn't agree more about TextPad being an excellent editor (my personal favourite). However, whilst it does search over multiple files (and very quickly at that) it doesn't do search and replace over multiple files.;positive
sC176;How do I overload a destructor?;neutral
tD168;goooooooooooooood!;positive
tB45;A database is meant to manage large volumes of data, and are supposed to give you fast access to read and write that data in spite of the size. Put simply, they manage scale for data - scale that you don't want to deal with. If you have only a few users (hundreds?), you could just as easily manage the data on disk (say XML?) and keep the data in memory. The images should clearly not go in to the database so the question is how much data, or for how many users are you maintaining this database instance?;neutral
sB430;killed that process and restarted and it worked!;positive
sD481;How do i scroll to a panel within an updatepanel after i load the content;neutral
sA91;Back in the day I had to solve this with a panel where the text box is a component inside and had DockPadding set to 3 or 4 pixels. I'd then style that panel to a single pixel. I always found this really annoying!;negative
sD546;"If i give will the search engine consider rel="""" to be noindex, nofollow?";neutral
pA63;I asked before about pixel-pushing, and have now managed to get far enough to get noise to show up on the screen. Here's how I init: Here's how I render each frame: Problem is this is awfully awfully slow, around 5fps. I think my path to publish the buffer must be wrong. Is it even possible to do full-screen pixel-based graphics that I could update at 30fps, without using the 3D chip?;negative
sC267;I am not familiar with Python scripting. I am simply trying to create a small GUI that will allow me to alter a parameter in an ArcGIS Model using the Tkinter Scale and then run the model by clicking a TKinter Button. (The code below is not finished and is being used for testing purposes, hence the button does not actually call a different script yet). I get this TypeError in the Traceback: I have tried deleting many different things from my code to determine what these arguments might be but to no avail. It is incredibly frustrating as I am sure it is the most simple problem. My code is as follows:;negative
sD24;C is a cruel master!;negative
tD159;For all your keydown/keyup/keyboard needs, use the jQuery hotkeys plugin. Saw this a few months ago and it never fails to impress it. Follow the jump for the plugin demo ... It maps ALL keys on a keyboard including combos. Hope it helps!;positive
sD464;+1, excellent link, thanks (but then anything by Celko is bound to be!-);positive
sD128;I'm wondering how Boxcar works, anybody knows? I know how to do the push notification from server to iPhone, but I have no clue of how to create the server to get the @reply and dm from twitter in real time. Any suggestion on what I should look into to create the server? Should I use Twitter's streaming API or User Streams API? Any sample code, in PHP preferably, will be great :) Thanks!;positive
tB473;Excellent question.;positive
sC518;I'm a new user to the site, and new to VBA. I'm just trying to get the contents of multiple text boxes (from many different sheets) into one sheet. Right now, I've been stuck on getting the information from a single text box into a variable. At this point in time, I just want it to retain the line feeds (new line, enter, return, etc). Even if I could just copy/paste the information, at this point, I can't even access the text box via VBA. If anyone could help out, that'd be really great! Thanks.;positive
tB66;"Check out It does the ""THIS IS NOT A FUNCTIONAL APP"" napkin view very well and is easy to use. Has a full featured you can try out online and as an added bonus you can email your XML to your client and they can tweak it and play with it and email it back to you without having to have a license.";positive
sA370;@Dimitre: +1 Excellent and complete answer!;positive
tD177;ROFL!! I love the comparison to getting married...;positive
tC290;Sharepoint recognize file types using their extensions. If you are worried about users spreading malicious application/code in your Sharepoint Sites. I suggest you to take a look at . You can modify the excluded extension list under Central Administration > Operations > Blocked File Types.;neutral
sB74;Loved all 3 responses! I picked Gordon's because it allowed me to do an outer join and ignore rows that had an additional filtering parameter (I didn't ask for this but I was able to implement that later). JBrooks solution was great because it had a smaller footprint and allowed me to leverage functions, and shree's one was a little too verbose for my bigger project but still did exactly what I needed. Thank you all!;positive
tC202;"Derek, I'm familiar with the *beforefieldinit* ""optimization"" but, personally, I never worry about it.";neutral
pC60;No I did not. The question is - which files..;neutral
tD169;I just flashed back to an old Broderbund game... Can't remember the name of it. Awful CGI graphics, lots of cannon battles in old ships... Maybe the first pirates game? Damn, that was an AWFUL game. Had a rollup scroll in it.;negative
tD195;"I'm working on a package which includes rescaling of images in PHP. For image rescaling, PHP has the GD and ImageMagick libraries. Are those likely to be part of a given client's PHP install already? Is there a ""default"" install of PHP, for that matter? By default, are either GD or ImageMagick included? If neither is installed, should I have some sort of horrible fallback position of reading, rescaling, and saving GIFs, JPGs, and PNGs, or is it simple to add GD or ImageMagick to an existing install?";neutral
tD453;We're using TFS and we're having problems when we switch branches, it's throwing up problems with the TFS bindings every single time. We still have .vspcc files .vsscc files which is I'm guessing where it stores the bindings, does anyone have any advice on how to easily switch between branches in TFS without pain?;neutral
pA14;Excellent! Thank you for your perseverence :);positive
sC526;today you - my personal Super Hero!;positive
tA213;I'd really love this to work in IE. I'm not able to change the fact that tables should not be used here. IE is the only browser the project I'm working on is required to support. Here's the code: I've been using the Tryit Editor to play with this. Thanks in advance for your help!;positive
sB553;Excellent man! You know what you are doing! I appreciate your help with this one.;positive
tA377;We're in the process of packaging combinations of our products/modules. Some of them are stand-alone some are interdependent. All versions must be deployable side-by-side. As it is we're considering two choices: One MSI per package and version One MSI per product/module and version The first alternative would mean that combinations of the same merge modules would be delivered in several packages. The second alternative represents the simpler path. Can you give some advice on the subject? Will any of the alternatives cause grief in the longer run?;neutral
pB33;no answer yet.... sad =(;negative
sD200;In what context are you asking this question? Database type?;neutral
sB233;"In my case sometimes begins work after ""Source Control/Update"". Actually, its terrible bug, you have no guarantees that you see actual list!!!";negative
sB574;what means csla CanReadProperty;neutral
tC335;This is great! Thanks +1;positive
sC232;Don't. Use a CSS declaration instead.;neutral
tD118;+1 for the sarcasm!;positive
sC145;I couldnt extract using `cabextract`, used `unrar` instead. `unrar e filaname.part01.exe` worked;neutral
sB581;@Frederick Marcoux: it is really terrible advice;negative
sC536;After installing Node, fresh installation of Yeoman throws several warnings. Command Warnings I am not sure, whether I should be worried about these warnings or just ignore them! Either ways I want to understand the reason behind getting these warnings.;negative
sC457;Also when following Flextras excellent guide, make sure that NavigationMenuClass extends EventDispatcher, otherwise just calling the dispatchEvent() method won't work!;neutral
sD359;I am running VS 2012. Working on a project that is stored on a mapped network drive. Whenever I go to close the solution it takes several minutes (5-7) for Visual Studio to close. It does eventually close, but very painful waiting for it to finish. Anyone have any suggestions on how to fix?;negative
tC491;"You could try using the HTML <button> tag instead of a link or a submit button. For example, The <button> tag is much easier to style than the standard <input type=""submit"">. There are some cross-browser quirks but they are not insurmountable. A really great article about the use of <button> can be found at particletree:";neutral
sC460;What is the difference for and;neutral
sD132;Works awesome :) Thank You!;positive
tA447;J# was, from the very beginning, a migration language. There were lots of devs who had used VJ++, Microsoft's version of Java. When .NET came out, the company provided J# as a way to move those devs and their code, unchanged, to .NET. Today, starting out, there is no reason to use J#.;neutral
pA65;Paradise, if you submit that as a separate response I'll make you the winner!;positive
tA460;I've been having this exact same issue, still not entirely sure what to make of it. [Here's my SO Question with a couple other suggestions given](http://stackoverflow.com/questions/3798/full-complete-mysql-db-replication-ideas-what-do-people-do). /mp;neutral
tB290;"I completely disagree with the answers so far. I feel that internal is a horrid idea, preventing another assembly from inheriting your types, or even using your internal types should the need for a workaround come about. Today, I had to use reflection in order to get to the internals of a System.Data.DataTable (I have to build a datatable lightning fast, without all of its checks), and I had to use reflection, since not a single type was available to me; they were all marked as internal.";negative
tC138;I started wondering today if it would be possible to integrate Joomla+CB with Google apps. If that would be possible we could have one great product! The first thing that I would want to integrate is the logon-process, one login for Joomla+Google apps. Then it would be great to have some Google apps modules: - your latest e-mails - your next calendar entries - your google talk buddies online/offline - your most recent docs and spreadsheets;positive
tD324;Nearly everything coming out of Redmond draws their menus differently then plain Win32 menus. It really annoys me that this never makes into the OS. OS-level Windows menus are so far out of date that drawing them yourself is nearly a requirement these days.;negative
tB458;"That's what I was thinking, but I am afraid it will bring confusion to the structure. I will need to add ""Set children"" field to parent class which should not be used anywhere in the code, only for hibernate cascade deletion. Do you think it is ok?";negative
pB10;"Then you've got major problems! Let me meditate on it; it is extremely unpleasant, whatever. Are you on Linux or some other Unix-like platform?";negative
sA60;I would not go the gdi route... Have you considered using wpf?;neutral
pD70;Great! I Will take a look later. Cheers.;positive
tD341;"I've got a php array: I want to pass this array via jQuery AJAX, with this: And here's my jQuery: How can I pass the array, so that with the ""replyMessage.php"" page, I could take each ID from the Array, to do something like this: Any help is greatly appreciated!";positive
tC227;One thing I forgot, make sure the dev database you are running the migration from (the sql server database) is updated from production immediately before each test run. Hate to have something fail on prod because you were testing against outdated records.;negative
tD162;What are the ways to retrieve data submitted to the web server from a form in the client HTML in ASP.NET?;neutral
tD194;If I am using IIS 7.0 + Server 2008/Vista Enterprise, any ways from IIS 7.0 side to control the upload speed? For example, max upload speed at 1M bytes/second? Any configuration based easy solution is great! And any programming based solution is also appreciated. :-) thanks in advance, George;positive
tB268;Is it possible to compile and run OpenGL programs from under Cygwin? If yes, how?;neutral
sD129;thnx man, it works really good, awesome stuff !!!;positive
tA104;There's for a sort that should work, but just wasn't included in the core. Referenced from , I think you just pass in a function that is used to sort, like so Hope it helps!;positive
sD11;To make it work with zeros just add: while (num >>= 1 && num);neutral
sA101;There is a particularly efficient algorithm using de Bruijn sequences described on Sean Eron Anderson's excellent page: It works in 13 operations without branching!;positive
tC239;"Be careful since it's often not ""morally reprehensible"", but in fact illegal copyright infringement.";neutral
sC288;This is a method in Java, that(when k == 0) in int[] arr has one of k-combination int[] intems. In variable iloczyn is calculated product of elements in this combination. In tmp is calculated sum of all such products. Unfortunately, System.out.println(tmp) shows, that when function ends, tmp equals 0. This is very sad, because i need this variable for next calculations. What shoud I do?;negative
sB227;See related: http://stackoverflow.com/q/4155993;neutral
pC75;"Per https://developer.apple.com/library/ios/documentation/LanguagesUtilities/Conceptual/iTunesConnect_Guide/Chapters/ChangingAppStatus.html#//apple_ref/doc/uid/TP40011225-CH30-SW1The ""pending an Apple Release"" means: Apple is holding your app version until the corresponding Apple iOS or OS version is released to the public. If you think an app should be released on existing iOS or OS versions, review the deployment target set in your app binary. If you rebuild your app binary with a different deployment target, reject the binary for this version and submit the new version.Sounds like you need to review the deployment target and if you change it, reject the binary and re-submit. If you need help with rejecting the binary, please let me know.Hope this helps!";positive
sC294;Did you end up using an md5 as your primary key? How did it go?;neutral
sD142;This is not the answer but I figured out a very sad workaround. Extend the TextView component class In the constructor of the subclass, fire off the code ...yuck;negative
sD482;ImportError: cannot import name gtkpixbuf;neutral
tC169;Given that my client code knows everything it needs to about the remoting object, what's the simplest way to connect to it? This is what I'm doing at the moment:;neutral
sC448;You can't move the cursor with JavaScript. It would be incredibly annoying anyways.;negative
sA55;This is really great question - well organised and explained, nicely done!;positive
sC363;The best resource I've found about web security with ASP.NET is the below, written by Troy Hunt: Absolutely priceless! He even made an ebook out of it that you can download as a pdf:;positive
tD473;"I want to limit my users to a directory and its sub directories but the ""Parent Directory"" button allows them to browse to an arbitraty directory. How should I go about doing that?";neutral
