id;text;rating;polarity;n_words;score
579;"I was prescribed acyclovir for an initial diagnosis of HSV 2. Initially one is supposed to take it 400mg 3x daily for 10 days. I then chose to continue taking acyclovir as part of a ""suppressive therapy"" regimen. At this time the dosing decreased to 400mg 2x daily.";7;;48;3
407;I insert 1 drop of Restasis in each eye morning and evening. In between I use preservative free artificial tears as needed.;6;;22;3
2529;The terbinafine was taken to eradicate nail fungus, which had aggressively attacked 2 toenails and was spreading to nearby digits. The terbinafine 250mg tablets were taken, 1 per day, for a little over 2 months. The first symptoms of the rash were noticed as slight, itchy redness on the skin around the chest and stomach area. These symptoms were noticed on 5/21, about 7 weeks into the treatment, but the condition not diagnosed as an allergic reaction until 6/10. By that time it had spread to 70% of the body, on the torso, back, and legs. The diagnosing physician suspected the terbinafine, and the patient immediately stopped taking the drug. Assessment of the original condition (toenail fungus) was that the terbinafine had already successfully resolved it.;5;;126;3
3403;The treatment details were the oral intake of finasteride. I obtained it in the 5mg form known as proscar. I would cut the tablet in half to get a 2.5mg dosage. I took 2.5mg of finasteride every day at night before i went to sleep. If i missed a dosage i waited for the next day to take the next dosage. Taking the whole 5mg dosage per day in my opinion would be to high a dosage. The side effects would increase.;7;;82;3
3894;The amoxicillin was given in 500mg pill form 3 times daily for one week. It was inconvenient to have to take the medicine every 8 hours, but the physician recommended this time frame in order to keep the blood levels at a helpful level. It meant having to wake up in the middle of the night to take it.;6;;59;3
274;The new treatment schedule started with 50 qam for 1 week. Decrease to 40 mg for a week, and then slowly keep decreasing by 5 mg daily, for a week at a time, until finished. Usually takes about a month. I only needed to take prednisone about once a year when flare-ups occurred. Remission periods between flareups became further and further apart as I became older, often years, so I am no longer osteopenic as a result.;6;;77;3
3752;Dermatologist prescribed Spironolactone for female Androgenetic hair loss. 100 mg per day. It has been somewhat effective in slowing down hair loss but has not completely stopped the excess shedding.;5;;30;3
199;Started with Celexa to treat anxiety/depression, then was diagnosed with adult ADHD, and started on Adderall. Abused Adderall for about a year (sometimes taking up to 120mg per day), but eventually returned to 30 mg.;6;;35;3
4120;Take one 1 mg tablet two times per day. The first several days the dosage was one half until I worked my way up.;5;;24;3
1874;Took Doxylin 50 mg once daily for 3 months. Improved acne during that time. However after stopping treatment. Acne came back. Was also using oil-free based cleanser twice daily at the time. Avoided oily foods, ate heaps of fruit and veg.;6;;41;3
847;I seemed to metabolized the drug quickly. Onset was rapid and anxiety producing. The extended release did not work for me. I was tried on a variety of doses, from several small doses through out the day, with minimal effectiveness, to several higher doses per day, up to 20mg 3x a day in combination with Xanax to decrease the anxiety. I was not prescribed Xanax prior to the higher doses of Ritalin. That combination worked better than the previous, but I felt drugged out a lot. So my doctor put me on 20 mg at 6am, and noon, with a small 5-10mg dose in the evening, and Xanax only as needed. I learned to live with the anxiety and work around it. I planned my doses where the onset(1 hour) would occur when I was alone or in only with a small group of people. I had to plan everything around the Ritalin to survive with the anxiety, but it was very difficult. But it was the only way I could keep a job. Without the Ritalin I was unable to concentrate enough at work to remain employed. Eventually my doctor retired, and I went to a psychiatrist who has ADHD himself, and he prescribes Adderall, 20mg early morning and noon, and 10 mg mid afternoon. The sustained release doesn't work well overall for me. My focus isn't as strong as it was on Ritalin, but there is no problem with anxiety, and I don't need the Xanax.;6;;248;3
958;Started on 20 mg dose for 2 weeks, then increased to 40 mg. After 4 months the benefits decreased dramatically so switched to another drug, bupropion, but still taking 20 mg of fluoxetine daily.;6;;34;3
1547;took 10 mg every 3 hours for a total dose of 30 mg/wk. Initially started with 15 mg/wk but became tolerant and had to move up to 30 mg/wk;6;;29;3
3028;Prescribed to be taken nightly as needed. Originally prescribed 20 mg, increasing to 40 mg, and potentially increasing to 60 mg if needed for a 135 lb woman. Intended to be taken for a few months, but due to grogginess and difficulty focusing, stopped using it after 3 weeks.;6;;49;3
4027;I took 2 pills, of 750 mg each of Glucophage XR, every day before going to sleep, during 1 year. Every 6 month sugar levels were controlled by a blood sample. Now i have been prescribed Cabergoline for 1 month.;7;;40;3
1269;Took 100mg each day in the morning, sometimes if drowsy another 100mg mid-day for cronic fatigue.;6;;16;3
2175;Started on Zyrtec after Claritin was ineffective and Allegra caused arrhythmias. Combined with nasal steroid spray for very effective relief of allergies. Cut dose to 5 mg daily to reduce brain fog/fatigue issue - this works most of the time, ezcept on high mold spore or pollen days.;7;;48;3
1783;I started with the 20mg dosage and it seemed to be working pretty well until about a month in when I had a bad anxiety attack. After seeing the doctor, she upped me to 40mg. After one dosage of 40mg, I nearly passed out twice and started profusely sweating. My hearing also went all funny. The doctor advised me to drop back down to 20mg and then try to go back up to the 40mg. Emotionally, I felt better after the 40mg, even after nearly fainting, but the side effects were very bad.;7;;93;3
872;Initially I was only prescriped paxil and xanax. I took only these for a few months under my PMD. Dose was increased from a lower one to 20mg as my depression and anxiety symptoms were still moderately severe, impairing my work performace and other quality of life. Withing a few months I was referred to a psychiatrist for med mgmt. After less than 6 months, Wellbutrin was added to the cocktail at a dose of 150mg, then increased to 300mg XL once daily. Ambien was also presccribed as my symptoms did not allow me to fall asleep. Life greatly improved within the next 8 months to a year. I weaned off the ambien and xanax completely. Still take the paxil and wellbutrin at the same doses. Also had counseling during all of this time.;7;;134;3
4087;Physical therapy twice a week. Doctor every two weeks. Suppose to take 1-2 Mobic everyday for pain. 1-3 Flexiril a day to relax tense muscles. I take Flexiril at night because it knocks me out. But have only needed it the first two days of treatment.;6;;46;2
3937;I was advised to take the drug in the evenings and it was easy to incorporate the drug into my daily regimea;7;;22;2
3397;Proscar was cut into 4 pieces and 1.25 mg were taken daily for over 2 years. There was immediate cessation of loss and moderate amounts of regrowth. Return to baseline, and then drastic fall below baseline, was observed in the year subsequent to drug initiation.;7;;45;2
504;Begginng dose: 25 mg for 1.5 yr.(may 08 to dec 09). Dec 09: want 2 have bbs..so I talked 2 my Doc and I start with 12.5 this week (dec 7, 09). To end the process. If I can turn back time..OMG..I used alternative treatments..no drugs..;5;;46;2
2161;Allergies are very common in Oklahoma because of the ragweed. Different medicines prescribed and over the counter were tried. At one point, I had to visit the doctor every six months two get a B12 shot and a steroid shot. I was not pleased with the such frequent visits to the doctor's office but needed a treat for my new found allergies that were really affecting my work and family life. I began taking 1 tsp onf Zyrtec once per day. The drug proved to work.;5;;86;2
3680;Taken once a day (until up to 150 mg/day and then taken twice a day). Always in the morning, as would help with insomnia.;7;;24;2
564;if i took it in the mornings with a meal. sometimes ,not all time my blood pressure did not lower like it should,so i took it at night, with a bigger meal.that seem to help, because during the day i seem to have a problem but not as often.;7;;49;2
2813;I switched from Zoloft to Wellbutrin because it seemed like Zoloft was increasing my appetite a lot. I originally was treated with Zoloft for a severe episode of depression. After switching to Wellbutrin and taking it for a few months I continued to experience the original relief I had gotten from depression by taking Zoloft. It is possible however that I no longer needed anti-depressants. I stopped taking Wellbutrin b/c while taking it, a few times a day I would feel pretty strange physically for a few moments. I found this frightening so I didn't want to continue taking it.;4;;100;2
3637;I initially applied a thumbnail size dab every other evening as advised before bedtime and then after about two weeks I began applying it daily. The medication was too harsh.;5;;30;2
3189;I must take it daily and can not just quit suddenly. I must phase off if necessary.;7;;17;2
1703;Use once daily at nighe before bed on problem area and any part of face for anti aging.;5;;18;2
2771;At bedtime, wash face with mild cleanser. Apply duac gel (pea size), follow with anti-aging over-the-counter moisturizing cream. Wash again in the morning (or else the Duac will bleach clothing), follow with SPF 30 moisturizer, and makeup as needed. Acne lesions which are dry and crusty were treated with a dab of topical neosporin ointment to speed healing.;6;;58;2
