id;rating;benefits;side_effects
2717;7;The elavil was taken as a preventative measure for migraines. I did have fewer migraines while I was taking this medication. The ones that I did get seemed to be less severe.;I took it at night and it made it very difficult to wake up in the morning. Also, after I took it, I would go right to sleep but if something woke me up within the first few hours of taking it, I had a VERy hard time going back to sleep.
3686;7;Worked very fast, could feel results within a week. Very effective in lifting severe depression and reduced frequency of panick attacks (though did not eliminate them entirely);Some insomnia, very vivid dreams, sweating at night. DO NOT MISS DOSES OR STOP TAKING...discontinuation happens really quickly and is the harshest I've ever felt (I've come off of Lexapro, amitriptyline and nortriptyline) Also my heartrate has increased slightly.
1274;10;After being diagnosed with narcolepsy, Provigil changed my life. I had learned to live eternally tired and able to fall asleep at a moment's notice. After a sleep study revealed narcolepsy and I started on Provigil, I feel as if I've been given a second chance at life. Provigil helps me to stay awake and be alert....I no longer feel fatigued and always wanting to sleep. Provigil is an amazing drug and thank God it's available!!!!;none
1629;9;Had to have a partial hysterectomy due to endometreosis. After the surgery began experiencing hot flashes on a very frequent basis - approximately 1-2 times per hour. My gynecologist prescribed Premarin .030mg. Since then I have moved up to the .045 mg dosage which I take once a day. For the most part, this relieves my symptoms even though I wake up at night on occasion with a night sweat.;periodic headaches
3531;7;I started having insomnia due to some family issues and had to start taking sleeping pills. With the help of Lunesta I could usually get up to 5 hours of sleep at night on most nights, but then suddenly it stopped working. I could not fall asleep and had to switch to Ambien CR.;Bitter taste in the mouth next morning. Bitter taste in the mouth next morning. Bitter taste in the mouth next morning. Bitter taste in the mouth next morning. Bitter taste in the mouth next morning. Bitter taste in the mouth next morning. Bitter taste in the mouth next morning. Bitter taste in the mouth next morning.
3918;10;Control of high blood pressure. Taken in addition to Cartia XT once daily to control high blood pressure. The hydrochlorothiazide (HCT) increases the amount of urine removing salt and excess water to help lower high blood pressure.;Dizziness, lightheadedness, and blurred vision.
4087;6;My treatment benefits: My pain went away while taking Mobic. My anxiety went away. My mood was lifted.;The first day I didn't take Mobic(Day 5) I experienced withdrawal like symptoms. Didn't want to get out of bed after eight hours of undisturbed sleep. Severe stomach cramping followed by diarrhea. I feel really strange. I can't focus. My pain is back. Face feels tingly. I have a shaky feeling. Nauseous. As the day progresses I am feeling less of these symptoms. I don't think it's worth all this.
3937;7;The nexium was highly successful in calming the stomach acid. However, it took a long time to do so effectively. I only stopped taking it after a year.;None.
3384;8;i could sleep at night. my ms caused tightness everywhere, so i had alot of sleepless nights. lack of sleep made everything worse w/ my ms;a little tired in the am ,but nothing horrible
1083;9;I suffered from debilitating migraines. The first treatments of anti-depressants were effective, but the side effects became intolerable. After trying other types of medications, Effexor (both XR and regular release) have been a blessing. I suffer no side effects and in the laast 5 years have only had to increase the dosage one time.;Previous medications (Nortrytpaline, amatryptaline) had a major sedative reaction. I was unable to get up in the mornings and was sleepy all day long. Also a dry mouth contributed to tooth decay as I was always having some sort of mint or candy or gum in my mouth.
3397;7;Immediate slowing of loss, but the benefits waned after the first year.;Mild testicular ache, reduced ejaculate
2016;10;My spots were reduced dramacially, skin cleared up and felt better. my confidence improved. i would recommend this product to other people.;very slight dry skin in the areas I used the gel the most.
1253;10;My hyperthyroidism is in remission 9 months after stopping the drug. I had no side effects and even my thyroid nodules are gone. Pretty amazing!!;None - I felt no different at all
3687;7;After a few months of treatment, I was actually able to function and get my social anxiety under control. My emotions became intact, and I enjoyed doing things again.;Missing a dose of this medication is HORRIBLE. I start feeling withdrawal symptoms after 24 hours of not taking my medication. I once went 3 days without the 75mg pills, and I thought I was going to die. I was in a constant spin, I cried the whole time, I was exhausted, but I couldn't lay still. I was so nauseous that I couldn't eat and dry heaved for days. I literally thought I was going to die. DO NOT MISS A DOSE OF THIS MEDICATION!! In the beginning of treatment, I started out with 37.5mg pills and I did feel nauseous and dizzy for the first few days until my body adjusted, but it was nothing compared to how I would be feeling in 2 weeks! I do think this medication completely killed my sex drive. I don't have the urge to be intimate at all.
1578;9;I was experiencing anxiety and would take a quarter of a pill to take the edge off. Within 20-30 minutes the anxiety would decrease a lot. Mostly I wouldn't even have a full pill in a day.;If I took the recommended dose (half to a full pill) I would get very tired. Once I tested different dosages and decreased it to a quarter, I cannot remember any side effects.
2187;9;The drug was taken for my daily anxiety caused by stress and also insomnia to help relax my body before bed. The drug is mainly intended for anxiety and works great at relieving those systems such as irregular heart beat, nervousness and other anxiety causing symptoms. I give it a 9 out of 10 for its performance.;The only thing i didnt like about this drug is that with taking it overtime I felt as if my body built tolerance to the drug as well as became more dependent on it. I still am until this day and have managed to ween off the drug. Then again every ones body is different, Just do your research before taking benzodiazepines long term.
4061;10;My son is generally very leary of any type of medicine and even throws up certain cough syrups and acetaminophens that I would give him. I had two concerns for this oral medication. First, I was skeptical that this prescription for amoxicillin would be any different in terms of taste and that my son would also throw it up. Also, being that my son is a diabetic coupled with the fact that he was sick, I was concerned that this medication might have sugars that would affect his blood sugar readings. I found no real difference in his health for the first two to three days but in the days following, his health improved dramatically to the point where we almost forgot to take it. Understanding that the antibiotic needed to be taken for the full ten days in order to be the most effective, we continued to take it to the end of the ten days.;My son did not notice/experience any side effects. There did not seem to be any physical reaction with the drug except that he became better within days.
1388;8;This has helped reduce my cystic acne that forms on my chin area. Nothing has helped previously.I had tried OTC products including Proactiv as well as RX differin. The cysts still occur occasionally but with far less frequency.;dryness
1;7;Traeatment with Nasonex was effective at controlling some of my congestion before sinus surgery and all of it after surgery. The treatment also controlled my allergies to cats and dogs as a bonus! I stayed 4 days at a freinds house with a dog and was without sneezing and stuffiness, however my asthma was still an issue.;Immediate side effects that I noticed were with my immune system. I got sick (colds and upper respiratory infections) more easily and I had one bug bite that became infected and took a long time to heal. I also noticed that I put on a few pounds (2-3) but am not sure if that is related or not.
2218;1;Blood pressure was decreased initially to where it should have been, and gradually stopped being so effective;Severe rectal pain, beginning around 4 weeks into the treatment. At first there was burning, after bowel movements, then increased to severe burning all the time, then to pain, and finally severe pain (could not sit or lay down). No hemorrhoids, tears, or fisures, but the pain continued, even if no bowel movements for days. Finally stopped taking the medication at the end of August 2009, but the symptoms continue even now (Feb 2010), although not nearly as bad. Now the pain just makes me sit sideways, but at least I can sit and lay down to sleep.
3206;1;diclofinac has helped with the pain and swelling of joints.Lefluonomide, for me, had no noticible benefits.;Nausea, weakness leg and feet cranps shortness of breath rapid heart rate. After a short time I discontinued the medicine, symptoms held on for three more days, Still not feeling well but there has been mild improvement
2620;7;Stop pain of nerve spasms, without the drug, the tri geminal neuralgia pain is considered one of the most painful of all medical conditions. With this medicine the patient has been able to avoid the risks of neuro surgury and still control the pain.;Headaches occasionally.
302;9;taking the eye drops once a day relieved itching and redness. there were no side effects. the treatment stopped my eyes from itching and being red. it did not seem to have any other side effects. there is really nothing else to say about it.;there were no side effects
504;5;Controls the anxiety and fear of being without breathing.;"GAIN WEIGHT (60 pnds) fron 125 lbs to 180 lbs (5'4""). Lazyness, sugar and candy cravings, depression form gain weight, sleep a lot, no concordance, No sex, confussion, nightmares, moody, constinspation at the begginng, face breakouts, intolerance, short of breath, headeach..among others."
1014;7;"reduction in mood swings;night sweats;wt. gain";"gallbladder disease;reflux"
224;10;Significant improvement in mood, affect, energy, libido, and overall mental status. Significant reduction in anxiety, moodiness, and certain obsessive compulsive traits.;
1805;3;It provided me Pain releif that enabled me to get up in the morning and pain releif that helped with cramps and pain while sleeping at night. I think it only blocked the pain receptor in my brain but didn't actually provide a cure for the main problem. It was like a mask that may have caused more damagae in the end;I became severely addicted to the drug. With flu like symptoms when out of meds. I became dependant on the meds everyday to function and because it was working for enabling me to go about my day I didn't look for a proper treatment. In the end I wouldn't say that these pain medication do anything but mask the initial problem and my Dr considered the problem solved and didn't seek an alternate method of helping me long term
381;10;I have never felt so good in my life. This drug doesn't make you happy but it gives you a stable state to work from. I also read self-help books and have therapy along with the medicine but I wouldn't have been able to not have extreme highs and lows without Lamotrigine. It saved my relationships and my sanity. Thank God for this medicine.;Yeast infections occasionally.
3540;10;I had more energy, better disposition and I slept better. This hormone therapy is great. I think most menopausal women should take it. It made me feel more like my old self.;I had absolutely no side effects.
942;1;Although I took this drug about 3 to 4 days before I realized it was making me sicker, there were no treatment benefits during the time I was on it. Actually , I started feel worse about day 3 or 4. The drug seemed to be enhancing the sinusitus symptoms!;The treatment side effects of Levaquin were very similar to my sinusitis symptoms, hence the fact I stayed on the drug for several days. Side effects included headache, dizziness, lightheadedness and nausea (nausea is not a symptom of sinusitus that I ever experienced before). The side effects slowly got worse the longer I took the drug.
623;8;Finacea works well, is my everyday solution to acne and rosacea, but I still have occasional breakouts which are more quickly dried up by using Neutragena salicylic acid spot products. Finacea has a creamier texture, so doesn't dry my skin as much as other products or irritate it, causing redness. I still require a light moisurizer, in addition to it and the CeraVe moisturizing product that has been packaged with Finacea in a recent promotion works well with it.;
3673;8;I have been on Effexor XR for about 10 years. I am currently taking 300 mg per day. Before going on Effexor XR I was a crazy person...I tried to commit suicide several times. I still had anger issues and was given Lamictal and my anger has decreased immensely. I had been on so many different antidepressants I thought this was how my life was always going to be, my family slowly watching me sleep myself to death. Since my doctor put me on Effexor XR added Lamictal & Desyrel I feel better than ever. I also found out I'm allergic to wheat, dairy & eggs. Deleting these items from my diet along with the medications has made me a new person.;"The only adverse effect I experienced was when I tried to play doctor and wean myself from the meds. It was like withdrawals from hard drugs; chills, nausea, etc. I took periodically myself off my meds because I didn't want to be dependant on medicaton. It was always the wrong thing to do."
1227;9;enabled me to manage pain without being on narcotics. I did not experience a spacey out of touch feeling as I did when taking vicodin. It did make me a bit sleepy for the first couple of hours after dosing;mild sleepyness
3578;7;I have had acne since the age of fifteen (15). I tried several treatments, but the one that has shown improvement to my skin has been Differin. With Differin, there has been a reduction of blemishes, my skin feels and looks smoother, and the hyperpigmention of my skin has lightened significantly.;Side effects included dryness and irritation of the skin, which were both in part, very mild.
3450;5;I felt better in about 2 days. Maybe I would of felt better with out the drug. Not quite sure if it really helped.;The side effects were the drug made me not able to sleep at night. It gave me restless legs,and insomnia. It also took away my apitete.
689;10;The problem, Acne Vulgaris, did disappear;Some days of severe depression, extremely dry skin
70;8;It allowed me to relax and sleep. My neck and back pain subsided a little. It made me forget most of my pain.;drowsy when i first woke up but once i got moving around it went away
1785;8;After about 2 weeks, felt much calmer and less depressed. Stressful situations or emotional distress were experienced less acutely and I was able to deal with them much better. Overall feeling of 'who cares' but not to a bad extent. Also lost about 20 pounds which may be due to it acting as an appetite suppressant? Or maybe because it stopped my stress eating. Either way, nice side effect :);Loss of weight- appetite suppression. Complete loss of sexual interest. Kind of a bummer but preferable to the depression. Also experienced an episode of intense confusion around the time it was supposed to be kicking in.
568;9;this drug works very well to control my heart from racing and fluttering. i have had a echo cardiogram and they say it is nothing serious but it really bothers me and makes me shaky and queasy. it was nice to get relief from this drug.;when i first took it it seemed to make me depressed but after a while that seemed to go away. other than that i have had no side effects.
2161;5;After moving to Okalahoma, allergies became a problem. Different medicines prescribed and over the counter were tried. At one point, I had to visit the doctor every six months two get a B12 shot and a steroid shot. I was not pleased with the such frequent visits to the doctor's office but needed a treat for my new found allergies that were really affecting my work and family life.;A rash on my face occurred after two days and the medicine made very anxious. After moving to Okalahoma, allergies became a problem. Different medicines prescribed and over the counter were tried. At one point, I had to visit the doctor every six months two get a B12 shot and a steroid shot. I was not pleased with the such frequent visits to the doctor's office but needed a treat for my new found allergies that were really affecting my work and family life. Both my 4 year old son and I tried Zyrtec. We both had an allergic reaction in the form of a rash on our face.
85;5;"Stabilizes my thyroid function and brings it into a ""normal"" range. Consequently my heart rate normalizes";Early in treatment Drs. would give me a specific dose to take for as long as 6 weeks. During this amount of time, on say..30-20 mgs per day, my thyroid would become so enlarged, I could barely swallow.. I now have a better handle on it.. and monitor my self with either breaking pills or smaller doses which I can control. ALSO--I now have Osteopenia.
4094;2;Reduced desire to smoke Reduced cravings for cigarettes;Suicidal thoughts (calm idea of jumping off 14th floor)
3869;10;I had tons more energy, better sleep, my brittle hair and dry skin improved ,cold hands and feet were a thing of the past ,but the best part was the fact that my horse voice and persistent sore throat got better,also a feeling of well being which I didn't have before taking them , I felt I had control of my life again.;there were absolutly no side affects , I didn't have a dry mouth as I know some other medication can cause , no upset stomach , sickness ,or dizzyness.
2072;3;"There was no perceptible benefit to the patient from his point of view; there was an apparent improvement as measured by the doctor. The doctor advised continuation of the treatment.";"There was no perceptible side effect experienced by the patient; this is possibly possibly due to the inattentive nature of the patients deep depression. The patient also had extreme sleep apnea."
3680;7;"Felt the ""cloud lift"" after 6 days or so. Feel free from depression for the first time in 10 years. But, glad to be rid of it.";Horrible for me. Acquired secondary insomnia (for the entire duration), at one point, didn't sleep for 5 days. Had a very intense feeling of delayed reactions/delayed feelings. ie. would go to turn the music up in the car and would turn the dial the wrong way. Took a few seconds to feel what I was actually touching, grabbing. Killed my sex drive. Withdrawl is EXTREME. Constant crying, very vivid and disturbing dreams, general listlessness.
117;10;Prior to starting 1000 mg acyclovir QID, I was taking the standard 200 mg 5 times a day regimin. I devloped the shingles in the 5th cranial nerve. I had lesions following the entire nerve roots across my face, but had them internally as well. There were lesions in the ear canal, the side of my tongue and down my throat. I had taken a flu shot and had exposure to sun, as well as starting 2 new jobs about the same time as the first onset. I developed 1 blister which I thought was herpes. I had not had a herpes outbreak in years. I started the acyclovir and noticed more and different complaints every day. I first got a lesion on the entrance to the ear canal and more accompanying the first one on my lower chin. Then my lower teeth began to become painful, as if I had a great toothache. After about 4 days, I began to feel exhausted and unable to snap out of my fatigue. The next day I awoke and had a sensation that my mouth was not fully moving. Later the eye began to remain open and would not blink. The 3rd day of these symtoms, I devloped total paralysis of the left face. I saw 1 of my doctors immediately. He gave me a cortisone shot and told me the dose of acyclovir to take. He said it was bell's palsey. A friend called and said it was Ramsay-Hunt. I was on bedrest from Mid October until 2 weeks ago. I have very little stamina, and slowly I am getting more energy. The latest addition to my medication arsenal was Alpha-lipoic acid. I had statrted lysine and red marine algae. I stopped coffe, soda, most meat and ate only what little I cooked or made myself. I am pleased that most of my facial functions have returned, with the exception of the eye bliking completely, and a slight difference in my smile. I take at least 1 dose of ibuprophen every day due to neuralgia or a sense of swelling in my left face.;I did not notice any.
2926;5;Very effective in my sleep pattern;Drowsiness which was not a major issue for me. phase of depression each time i stopped taking the pill. I didn't realize what was causing it until after the last couple of times. I mean a serious phase of depression which was new to me since i have never experienced depression before
3383;10;"My blood cholesterol decreased from 260 to 190-210 and my LDLs dropped and now hover around 100 mg/dl; always had high HDL levels of 84-92. Needed to keep my VLDLs low too.";No side effects
564;7;it did keep my blood pressure lower , and i did feel better.and i felt more at ease driving;I felt a little tired at times,and some dizziness i ended up taking it at night and that seem to help.
3253;6;during 20's and 30's it appeared to create a protective skin barrier and keep acne at bay;suspect that long-term over-use of this anti-biotic is part of the domino effect that disrupted immune system which set stage for cancer diagnosis at age 40
1753;8;The number of migraines were reduced from 20+ a month to 12 or even less. There have been some months when I have had only 5 or less migraines. More importantly, the intensity of the migraines is considerably reduced. On a pain scale of 1-10, I would have 12 or 15+ pain, that no amount of medication helped, and they would last for 3 to 5 days. Now, when I do get a migraine, it's usually at a 2 or 3 pain level, and I rarely need to take more than 1 Relpax for relief.;One rather odd side effect, which others on the drug have commented upon, is that you forget words. I've always been very articulate, and it can be frustrating to be in the middle of a conversation, or when I was doing training sessions, to suddenly go blank and be completely unable to remember a word I've used all my life. Also, at one point I decided to go off the medication in the vain hope I could manage the migraines without drugs. Even coming off the Topamax over a period of months, I gained 20 pounds.
2813;4;Decreased depression;felt funny and would get sort of dizzy
2022;9;Benefits of Protonix were a greatly reduced incidence of heartburn and spams in the esophagus.;
3863;9;The drug reduced symptoms of tiredness and moodiness. Hair loss was also seemed to improve.;none known
3235;5;I have not gotten pregnate while using, and I can usually not tell the ring is there.;I had a severe headache that lasted a week. Vaginal iching. Loss of sexual desire.
1580;8;I was able to relax more than usual, and my mind did not feel like a race car circling a track at 150 miles per hour. It became easier to focus on the task at hand without worrying about what was on my to-do list and, due to an eating disorder, how much I had eaten or was going to eat that day.;I found it slightly more difficult to drive while under the influence of the drug, and oftentimes I caught myself spacing out. Sun exposure seemed to strengthen the drug's effect, and being in the sun made me lethargic and sometimes even dizzy. Overall, I always felt as though I was on an irregular level of consciousness, and not in the same mental place as surrounding people not on the drug.
3596;9;My skin has become dramatically clearer and it has a fresh glow that I am very happy with. My skin is smoother, finer, and the darker areas on my forehead (related to sun exposure) have faded almost completely.;Mild redness in the first three or four weeks, especially after exfoliating in the morning (which is my habit, not something recommended by my dermatologist though I have not asked). It is a lot more urgent that I get moisturizer on after washing my face in the morning than it used to be before starting this treatment. My face feels very tight and uncomfortable until I get the moisturizer on.
2811;9;My dosage is NOT the standard treatment of 300 mg daily, however at the 100 mg daily dose I get some benefits, including decreased irritability and appetite control, without side effects.;None.
2078;10;Totally under control;Byetta had slight nausea effects at first
1516;8;I went to the doctor complain of never losing weight despite dieting and exercises, and after some medical evaluation , I was diagnosed with severe insulin resistance, polycysitc ovary syndrome , and hypothyroid ,all which contributed to weight problem , my doctors plan was to take metformin at the maximum dose , 850 mg , 3 times and and to start a medication for my throid , within 3 months I had lost 20 pounds , normalized my periods and reversed my insulin resistance I was instructed to keep taking metformin for the rest of my life;gastric side effects
1668;5;I began taking Climara for perimenopause issues-- insomnia, horrible PMS, moodiness, night sweats. It helped for these issues.;The main side effects I experienced with Climara were bloating, weight gain and indigestion/gas. I gained 8 pounds in two months! As soon as I stopped the drug, the bloating and gas disappeared, and my weight gain is returning to normal.
1298;9;lowered cholesterol by 13% with no side effects;there were no side effects from the dosage I take
2380;8;"Clearer thinking; improved outlook and energy level.";I have had a persistent cough since taking this drug.
1115;8;stopped depression ie. repeatative negative thoughts, suicidal thougts, and general malaise. relieved insomnia.;Bizarre dreams on nightly basis. Possibly digestive problems.
4040;10;excellent!!!! been using on and off for about 5 yrs now. I have learned how this works so theres no side effects such as really dry flaky skin. i use a little in the am then at night.I do this for about 2 wks. Meanwhile i DO NOT use any scrubs or rub my face , just gently, also NO masks or toners etc. Close to 2 wks, when in a hot shower gentle exfoliate, you will see dead skin coming off. dry your face and ts gonna look dry, flaky and terrible. use PURE COCOBUTTER on your face during the day, then only at night use the triluma, and repeat the exfoliate every few days, then the cocobutter etc, until you get results. My face looks amazing after using this process, but i do not have acne, so not sure how it would work with the cocobutter, might make the acne worse. good luck!;dry skin
1776;6;I did not notice any benefit myself, although my wife felt I was less 'Snappy'. Hoping to get more benefits now I have moved up to a higher dose.;Waking up in the night and not being able to sleep. Shaking. Nervousness. Agitation. Sweating. Increased sex drive. Upset stomach/ flatulance. Tiredness. Dejavous.
2217;8;The benefits were that it did help lower my blood pressure.;With the HCT added to the Benicar, I was constantly going to the bathroom. My potassium got so low on this medication that I am currently taking 3 potassium pills daily.
311;4;Got rid of eczema quickly when applied in a thin layer. I have used this for years without realizing its side effects or being told about the side effects from my doctors or pharmacist.;This drug has severe side effects, and I was not told about ANY of them! I believe I have gotten shingles as a side effect from this drug. Shingles tends to happen to the elderly or people with weakened immune systems. My immune system was weakened by this drug enough to get shingles! Do your research before continuing to choose to use this product.
1835;3;Less acne, more controlled cycle;headaches, dizzy spells, extreme breast tenderness (like someone is crushing them), anxiety, slight depression, very bad cramps, very large clots, mood swings, heart palpitations
2546;9;My target was to have the a cholestrol reduction from 240 to under 200. I did not want want to take statins because I am not comfortable with drugs that inhibit normal metabolic processes. Evolution is parsimonius, and inhibition of any enzyme is likely to be reflected as an adverse effect in a seemingly unrelated area. Also, I did not want to take red yeast rice, which basically is a non-phrmaceutical grade of a statin. I liked the physical mode of action of Zetia. Within 6 months of starting treatment, my total cholesterol was down from to 200 and my HDL went up from 45 to 58.;I did not experience any perceptible side effects.
3508;9;The Atacand worked well for me IF taken consistently without skipping days. I was able to bring my blood pressure to at least 120/80 and at times a bit lower. Note that consistency of medication is a key. Should the 8mg tablet taken once per day not prove as effective as desired, my physician advised that I could take an additional tablet or two per day without problem.;Did not notice any undesirable side effects. The only thing that could be mentioned is that if one embarks on a significant exercise routine such as elleptical stairstep machine for 30+ minutes/day and keeps up the exercise for weeks on end while at the same time taking the Atacand, one may end up with a [not undesirable] blood pressure in the 112/65 range.
986;10;"Decreased the vertigo almost immediately; no further vomiting; I was able to walk and move my head without the awful spinning.";Sedation--I almost the entire time I took the medication...I'm not sure I could have taken this and gone to work.
2796;10;more motivation,stopped crying in the morning,improved feelings of wellbeing,I could enjoy music and started singing spontaniously at times,something Ihad'nt done in years;dry mouth at first week then no side effects ,even when I went up to a dose of 500mg a day under the care of a psychatrist
4046;8;the treatment cleared up the infection, mostly. It cleared up the infection but I still felt that it was there for a while. It did get rid of the pain in my ears from the infection really quickly, and the 'blocked up' feeling I had in my ear.;There were no side effects.
2244;10;outbreaks were reduced from one every few months to one every few years;none that I am aware of
2164;9;I was able to live without allerigies. Zyrtec alleviated my symptoms except for a slight cough without the drowsiness of other medications.;
3460;10;much improved sleep without waking in the middle of the night.;none really. Maybe groggy but not terribly.
3637;5;I did not experience benefits as the medication was too harsh, forcing me to have to stop application.;I experienced significant peeling of my skin all over my face.
3189;7;less depression and suicidal ideation. I was not responding to any other anti-depressants and this one sometimes works for people who do not respond to others. Maybe it's because it makes you sleep very well. Sometimes it is prescribed as a mild sleeping pill.;sleepiness, it must be taken at bedtime. and some memory loss. a bit of blurred vision. If there is no food in the stomach there can be nausea. If I get up in the middle of the night I sometimes vomit.
3113;8;Highly effective in birth control, actually stopped my daily headaches, made me regular;Extreme mood swings, unpredictable periods of depression/anger. Not only have I experience these drastic out-lashes of extreme anger onto others for no logical reason, my friend, also on the pill, experienced the same effect. She's stopped taking it, but I can't for fear of being unprotected.
1763;3;I first began taking Topamax when I was fifteen. I had severe migraines about five every week. When I started it did automatically begin helping me with the headaches, and then the side effects sat in very soon after. Yet, the weight loss side effect was the only positive. I lost twenty pounds.;Within twenty minutes of taking Topamax I began to get tingles in my feet and bad in my hands. The next two weeks when they had moved my doze from 50mg to 100mg I felt like a dud in class. I couldn't remember anything that I would have been able to grasp so much more quickly before. I would stumble on my words and get so confused. On top of all this, I was constantly in a bad mood and depressed. I finally said enough was enough the day I got over heated at the lake, I got over heated because Topamax doesn't let you sweat. Overall, the side effects over ruled the relief.
1655;1;Clomiphene citrate or clomid is used for treatments of fertiliy in women. It triggers the ovaries to ripen more ovuls and to invrease the change of conceiving.;bluuring vision, moodiness, depression, panic attacks, weight gain, skin problems
529;8;relief of insomnia;grogginess in the morning
3792;2;there were no treatment benefits in taking this drug;i broke out into hives all over my torso
1972;8;The treatment quieted the nerve endings givig them a chance to calm down from the chronic pain cycle. It allowed the nervous system to regulate itself properly again.;"In the begining of treatment she was nauseas, dizzy, light headed, spacey, these symptoms decreased with time. She still gets what we call ""lyrica head"" on cloudy days. ""Lyrica head"" is a foggy feeling. Other patients taking lyrica that we have spoken to complain of this also."
2772;6;Acne outbreaks healed quicker than using no medication.;At first my face was really red, dry, and flakey. After about 4 mos my face still gets red sometimes and is a little burny/itchy which it makes it hard to shave.
3950;9;I would have complete relief from acid reflux if I took the medication daily. If I skipped a day, I would start to have severe gastric distress from acid reflux, would then have to take the Prilosec as well as an instant-acting Tums or Rolaids.;If I took the pill and also several Tums or rolaids, I would get diarrhea.
1424;8;This is my second wee taking the meds and i weighed myself the other day i have lost 14lbs already and i still have a few more weeks to go before the month is up..;Jitters, energized, not as tired as i use to be
1526;9;I have suffered from insomnia off and on for a number of years. Fluvoxamine is an antidepressant and, as I didn't feel depressed, I was a little dubious initially. My GP suggested I try it as I was unwilling to take any sedative-type pills. After the initial start-up period (around two weeks) I found it made a big difference. I now go to bed and sleep normally without any side effects such as drowsiness. My GP suggested that I might have had a level of depression which was affecting my sleep, I don't know, although I do feel better generally as well as sleeping well.;In the first couple of weeks I felt a bit upset in my stomach, otherwise I was fine.
755;8;Helped with sinus congestion and sneezing, and allowed me to be able to breathe better throught the night and wake up less stuffy.;Mild sinus headache at times depending on how bad my allergies were.
1703;5;Helped rid nose of pre cancer outbreaks;Dry skin in all areas treated. Dry area would develop after about a week of use and then would need to discontiue use for a few days.
1308;10;Stops and Prevented breakouts of hives! I am severly allergic to most foods and plants, everything breaks me out. Thanks to this pill, this won't happen any more.;
